pedon_Key,User_pedon_ID,peiid,Primary_Lab_Report,pedlabsampnum,pedon_Description_Report,Soil_Profile,Soil_web,country_code,country_name,state_code,state_name,county_code,county_name,mlra_code,mlra_name,ssa_code,ssa_name
1,S1999NY061001,524628,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=1&r=1&submit1=Get+Report,00P0001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1999NY061001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=524628,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.7687,-73.9792",US,United States,NY,New York,NY061,New York,144A,"New England and Eastern New York Upland, Southern Part",NY061,"New York County, New York"
1337,64ND011001,47568,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=1337&r=1&submit1=Get+Report,40A1377,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=64ND011001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=47568,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.0167,-103.066",US,United States,ND,North Dakota,ND011,Bowman,54,Rolling Soft Shale Plain,ND011,"Bowman County, North Dakota"
1341,64ND011003,47570,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=1341&r=1&submit1=Get+Report,40A1381,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=64ND011003,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=47570,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.2477,-103",US,United States,ND,North Dakota,ND011,Bowman,54,Rolling Soft Shale Plain,ND011,"Bowman County, North Dakota"
1342,64ND087002,47590,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=1342&r=1&submit1=Get+Report,40A1382,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=64ND087002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=47590,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.3513,-103.141",US,United States,ND,North Dakota,ND087,Slope,54,Rolling Soft Shale Plain,ND087,"Slope County, North Dakota"
1968,S1966IL107001,101743,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=1968&r=1&submit1=Get+Report,40A2008,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1966IL107001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=101743,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.2636,-89.3269",US,United States,IL,Illinois,IL107,Logan,108,Illinois and Iowa Deep Loess and Drift,IL107,"Logan County, Illinois"
2462,S1974SD013002,1041798,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=2462&r=1&submit1=Get+Report,40A2514,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1974SD013002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=1041798,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=45.4008,-98.415",US,United States,SD,South Dakota,SD013,Brown,55B,Central Black Glaciated Plains,SD013,"Brown County, South Dakota"
2617,1977IL075004,272437,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=2617&r=1&submit1=Get+Report,40A2785,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977IL075004,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=272437,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.5023,-88.0298",US,United States,IL,Illinois,IL075,Iroquois,110,Northern Illinois and Indiana Heavy Till Plain,IL075,"Iroquois County, Illinois"
2619,77IL105001a,273365,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=2619&r=1&submit1=Get+Report,40A2787,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77IL105001a,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=273365,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.8467,-88.4098",US,United States,IL,Illinois,IL105,Livingston,108,Illinois and Iowa Deep Loess and Drift,IL105,"Livingston County, Illinois"
2989,S1966NV017023,104591,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=2989&r=1&submit1=Get+Report,40A3158,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1966NV017023,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=104591,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=37.7916,-114.267",US,United States,NV,Nevada,NV017,Lincoln,29,Southern Nevada Basin and Range,NV613,"Meadow Valley Area, Nevada and Utah"
3067,1959NV001002,253215,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=3067&r=1&submit1=Get+Report,40A3236,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1959NV001002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=253215,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.5049,-118.528",US,United States,NV,Nevada,NV001,Churchill,27,Fallon-Lovelock Area,NV603,"Fallon-Fernley Area, Nevada, Parts of Churchill, Lyon, Storey and Washoe Counties"
