pedon_Key,User_pedon_ID,peiid,soil_name,class_type,classification_name,pedlabsampnum,site_key,project_key,siteiid,usiteid,Primary_Lab_Report,pedon_Description_Report,Soil_Profile,Soil_web,country_code,country_name,state_code,state_name,county_code,county_name,mlra_code,mlra_name,ssa_code,ssa_name,lat,long
1,S1999NY061001,524628,paxton,series,"Coarse-loamy, mixed, active, mesic Oxyaquic Dystrudepts",00P0001,1,3417,108354,S1999NY061001,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=1&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1999NY061001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=524628,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.7687,-73.9792",US,United States,NY,New York,NY061,New York,144A,"New England and Eastern New York Upland, Southern Part",NY061,"New York County, New York",40.768695800,-73.979194600
1337,64ND011001,47568,hydro,series,NULL,40A1377,1337,1,47662,64ND011001,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=1337&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=64ND011001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=47568,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.0167,-103.066",US,United States,ND,North Dakota,ND011,Bowman,54,Rolling Soft Shale Plain,ND011,"Bowman County, North Dakota",46.016666700,-103.065833300
1341,64ND011003,47570,moreau,series,NULL,40A1381,1341,1,47664,64ND011003,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=1341&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=64ND011003,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=47570,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.2477,-103",US,United States,ND,North Dakota,ND011,Bowman,54,Rolling Soft Shale Plain,ND011,"Bowman County, North Dakota",46.247737885,-103.000015259
1342,64ND087002,47590,moreau,series,NULL,40A1382,1342,1,47684,64ND087002,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=1342&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=64ND087002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=47590,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=46.3513,-103.141",US,United States,ND,North Dakota,ND087,Slope,54,Rolling Soft Shale Plain,ND087,"Slope County, North Dakota",46.351345062,-103.141403198
1968,S1966IL107001,101743,lawndale,series,"Fine-silty, mixed, mesic Aquic Argiudolls",40A2008,1968,1,101760,S1966IL107001,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=1968&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1966IL107001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=101743,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.2636,-89.3269",US,United States,IL,Illinois,IL107,Logan,108,Illinois and Iowa Deep Loess and Drift,IL107,"Logan County, Illinois",40.263610800,-89.326942400
2462,S1974SD013002,1041798,aberdeen,series,"Fine, smectitic, frigid Glossic Natrudolls",40A2514,2462,1,105588,S1974SD013002,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=2462&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1974SD013002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=1041798,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=45.4008,-98.415",US,United States,SD,South Dakota,SD013,Brown,55B,Central Black Glaciated Plains,SD013,"Brown County, South Dakota",45.400833100,-98.415000900
2617,1977IL075004,272437,bryce,series,"Fine, mixed, superactive, mesic Vertic Endoaquolls",40A2785,2617,1,101701,S1977IL075004,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=2617&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977IL075004,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=272437,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.5023,-88.0298",US,United States,IL,Illinois,IL075,Iroquois,110,Northern Illinois and Indiana Heavy Till Plain,IL075,"Iroquois County, Illinois",40.502250700,-88.029754600
2619,77IL105001a,273365,martinton,series,"Fine, mixed, superactive, mesic Aquic Argiudolls",40A2787,2619,1,274360,77IL105001a,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=2619&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=77IL105001a,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=273365,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.8467,-88.4098",US,United States,IL,Illinois,IL105,Livingston,108,Illinois and Iowa Deep Loess and Drift,IL105,"Livingston County, Illinois",40.846690000,-88.409764400
2989,S1966NV017023,104591,acana,series,"Loamy, mixed, superactive, mesic, shallow Xerollic Durargids",40A3158,2989,1,104608,S1966NV017023,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=2989&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1966NV017023,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=104591,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=37.7916,-114.267",US,United States,NV,Nevada,NV017,Lincoln,29,Southern Nevada Basin and Range,NV613,"Meadow Valley Area, Nevada and Utah",37.791633600,-114.267494200
3067,1959NV001002,253215,carson,series,"Very-fine, smectitic, mesic Halic Haploxererts",40A3236,3067,1,255098,1959NV001002,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=3067&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1959NV001002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=253215,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.5049,-118.528",US,United States,NV,Nevada,NV001,Churchill,27,Fallon-Lovelock Area,NV603,"Fallon-Fernley Area, Nevada, Parts of Churchill, Lyon, Storey and Washoe Counties",39.504905700,-118.527641700
3079,1961NV027002,253343,humboldt,taxadjunct,"Fine, smectitic, mesic Fluvaquentic Haploxerolls",40A3248,3079,1,255200,1961NV027002,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=3079&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1961NV027002,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=253343,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=40.1725,-118.475",US,United States,NV,Nevada,NV027,Pershing,27,Fallon-Lovelock Area,NV602,"Lovelock Area, Nevada, Parts of Pershing and Churchill Counties",40.172500000,-118.475000000
3082,S1961NV005005,104557,mottsville,series,"Sandy, mixed, mesic Torripsammentic Haploxerolls",40A3251,3082,1,104574,S1961NV005005,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=3082&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1961NV005005,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=104557,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=38.8667,-119.797",US,United States,NV,Nevada,NV005,Douglas,26,Carson Basin and Mountains,NV773,"Douglas County Area, Nevada",38.866664900,-119.796943700
5628,S1969NV031019,110548,patna,series,"Sandy, mixed, mesic Typic Haplargids",69C0101,5628,59,110534,S1969NV031019,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=5628&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1969NV031019,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=110548,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.6513,-119.306",US,United States,NV,Nevada,NV031,Washoe,27,Fallon-Lovelock Area,NV603,"Fallon-Fernley Area, Nevada, Parts of Churchill, Lyon, Storey and Washoe Counties",39.651283300,-119.305992100
6324,S1974NV017005,110511,cave,series,"Loamy, mixed, superactive, thermic, shallow Typic Durorthids",74C0159,6324,134,110497,S1974NV017005,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6324&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=S1974NV017005,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=110511,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=37.1567,-114.436",US,United States,NV,Nevada,NV017,Lincoln,30,Mojave Desert,NV754,"Lincoln County, Nevada, South Part",37.156665800,-114.436111500
6483,1977NV019001,254234,hawsley,series,"Mixed, mesic Typic Torripsamments",78P0014,6483,156,256047,1977NV019001,https://ncsslabdatamart.sc.egov.usda.gov/rptExecute.aspx?p=6483&r=1&submit1=Get+Report,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=Pedon_Site_Description_usepedonid&pedon_id=1977NV019001,https://nasis.sc.egov.usda.gov/NasisReportsWebSite/limsreport.aspx?report_name=WEB-profiles-by-PEIID&pedon_peiid=254234,"https://casoilresource.lawr.ucdavis.edu/gmap/?loc=39.3244,-119.222",US,United States,NV,Nevada,NV019,Lyon,27,Fallon-Lovelock Area,NV625,"Lyon County Area, Nevada",39.324444400,-119.221944400
